flight_number,departure/arrival_airport,departure/arrival_airport,flight_status,city_name,airport_code,departure/arrival_time_local,terminal,aircraft_model,airline_name,type,scheduled_datetime_flight,actual_datetime_flight
F3 25,,RUH,Unknown,Abha,AHB,2024-08-24 12:35+03:00,5,Airbus A320,flyadeal,Departure,,
SV 117,Riyadh King Khaled,RUH,Departed,London,LHR,2024-08-24 12:40+03:00,4,Boeing 777,Saudi Arabian,Departure,2024-08-24 12:40+03:00,
SV 327,,RUH,Unknown,Sharm el Sheikh,SSH,2024-08-24 12:40+03:00,4,Airbus A321,Saudi Arabian,Departure,,
LH 8482,,RUH,Unknown,Taybey,N/A,2024-08-24 12:55+03:00,N/A,Boeing 777-200F,Lufthansa,Departure,,
XY 89,Riyadh King Khaled,RUH,Unknown,Abha,AHB,2024-08-24 12:55+03:00,5,Airbus A320 NEO,flynas,Departure,2024-08-24 12:55+03:00,
SV 1461,,RUH,Departed,Medina,MED,2024-08-24 12:55+03:00,5,Airbus A330,Saudi Arabian,Departure,,
SV 1172,Riyadh King Khaled,RUH,Unknown,Ad Dammam,DMM,2024-08-24 13:00+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-24 13:00+03:00,
SV 1033,,RUH,Unknown,Jeddah,JED,2024-08-24 13:00+03:00,5,Airbus A330-300,Saudi Arabian,Departure,,
MS 652,Riyadh King Khaled,RUH,Unknown,Cairo,CAI,2024-08-24 13:00+03:00,2,Airbus A330-300,EgyptAir,Departure,2024-08-24 13:00+03:00,
XY 19,,RUH,Unknown,Jeddah,JED,2024-08-24 13:10+03:00,5,Airbus A320 NEO,flynas,Departure,,
FZ 842,Riyadh King Khaled,RUH,Unknown,Dubai,DXB,2024-08-24 13:15+03:00,2,Boeing 737 MAX 9,flydubai,Departure,2024-08-24 13:15+03:00,
SV 1807,,RUH,Unknown,Jazan,GIZ,2024-08-24 13:15+03:00,5,Airbus A320,Saudi Arabian,Departure,,
QR 1173,,RUH,Departed,Doha,DOH,2024-08-24 13:15+03:00,3,Airbus A350-900,Qatar Airways,Departure,,
SV 375,Riyadh King Khaled,RUH,Unknown,Casablanca,CMN,2024-08-24 13:20+03:00,4,Boeing 787-10,Saudi Arabian,Departure,2024-08-24 13:20+03:00,
XY 149,,RUH,Unknown,Al-Jawf,AJF,2024-08-24 13:20+03:00,5,Airbus A320 NEO,flynas,Departure,,
F3 591,Riyadh King Khaled,RUH,Unknown,Sarajevo,SJJ,2024-08-24 13:20+03:00,3,Airbus A320,flyadeal,Departure,2024-08-24 13:20+03:00,
J9 222,,RUH,Unknown,Kuwait City,KWI,2024-08-24 13:25+03:00,2,Airbus A320 NEO,Jazeera Airways,Departure,,
F3 121,Riyadh King Khaled,RUH,Unknown,Jeddah,JED,2024-08-24 13:30+03:00,5,Airbus A320,flyadeal,Departure,2024-08-24 13:30+03:00,
SV 1571,,RUH,Unknown,Rio-Sidra,N/A,2024-08-24 13:35+03:00,5,Airbus A321,Saudi Arabian,Departure,,
XY 231,Riyadh King Khaled,RUH,Unknown,Kuwait City,KWI,2024-08-24 13:35+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-24 13:35+03:00,
SV 1671,,RUH,Unknown,Abha,AHB,2024-08-24 13:40+03:00,5,Airbus A320,Saudi Arabian,Departure,,
SV 554,,RUH,Unknown,Dubai,DXB,2024-08-24 13:45+03:00,4,Airbus A330,Saudi Arabian,Departure,,
SV 1735,Riyadh King Khaled,RUH,Unknown,Bisha,BHH,2024-08-24 13:45+03:00,5,Airbus A321,Saudi Arabian,Departure,2024-08-24 13:45+03:00,
SV 1245,,RUH,Unknown,Dawadmi,DWD,2024-08-24 13:55+03:00,5,Airbus A320,Saudi Arabian,Departure,,
SV 1035,Riyadh King Khaled,RUH,Unknown,Jeddah,JED,2024-08-24 14:00+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-24 14:00+03:00,
F3 127,,RUH,Unknown,Jeddah,JED,2024-08-24 14:00+03:00,5,Airbus A320,flyadeal,Departure,,
ER 858,Riyadh King Khaled,RUH,Unknown,Peshawar,PEW,2024-08-24 14:10+03:00,N/A,Boeing 737-800,Serene Air,Departure,2024-08-24 14:10+03:00,
SV 1527,,RUH,Unknown,Tabuk,TUU,2024-08-24 14:15+03:00,5,Airbus A321,Saudi Arabian,Departure,,
SV 1389,,RUH,Unknown,Al-Jawf,AJF,2024-08-24 14:30+03:00,5,Airbus A320,Saudi Arabian,Departure,,
XY 85,Riyadh King Khaled,RUH,Unknown,Abha,AHB,2024-08-24 14:35+03:00,5,Airbus A320 NEO,flynas,Departure,2024-08-24 14:35+03:00,
SV 1239,,RUH,Unknown,Arar,RAE,2024-08-24 14:35+03:00,5,Airbus A320,Saudi Arabian,Departure,,
SV 1915,Riyadh King Khaled,RUH,Unknown,Taif,TIF,2024-08-24 14:35+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-24 14:35+03:00,
QR 1165,,RUH,Departed,Doha,DOH,2024-08-24 14:40+03:00,3,Airbus A350-900,Qatar Airways,Departure,,
SM 462,,RUH,Unknown,Cairo,CAI,2024-08-24 14:40+03:00,2,Airbus A320,Air Cairo,Departure,,
XY 141,Riyadh King Khaled,RUH,Unknown,Al-Bakha,ABT,2024-08-24 14:50+03:00,5,Airbus A320 NEO,flynas,Departure,2024-08-24 14:50+03:00,
F3 125,,RUH,Unknown,Jeddah,JED,2024-08-24 14:50+03:00,5,Airbus A320,flyadeal,Departure,,
SV 637,Riyadh King Khaled,RUH,Unknown,Amman,AMM,2024-08-24 14:55+03:00,4,Airbus A320,Saudi Arabian,Departure,2024-08-24 14:55+03:00,
XY 305,,RUH,Unknown,Trabzon,TZX,2024-08-24 14:55+03:00,3,Airbus A320 NEO,flynas,Departure,,
SV 1037,Riyadh King Khaled,RUH,Unknown,Jeddah,JED,2024-08-24 15:00+03:00,5,Airbus A320,Saudi Arabian,Departure,2024-08-24 15:00+03:00,
SV 1150,,RUH,Unknown,Ad Dammam,DMM,2024-08-24 15:00+03:00,5,Airbus A320,Saudi Arabian,Departure,,
XY 21,,RUH,Unknown,Jeddah,JED,2024-08-24 15:05+03:00,5,Airbus A320 NEO,flynas,Departure,,
E5 411,Riyadh King Khaled,RUH,Unknown,Cairo,CAI,2024-08-24 15:10+03:00,2,Airbus A320,Air Arabia Egypt,Departure,2024-08-24 15:10+03:00,
XY 353,,RUH,Unknown,Salalah,SLL,2024-08-24 15:15+03:00,3,Airbus A320 NEO,flynas,Departure,,
F3 19,Riyadh King Khaled,RUH,Unknown,Abha,AHB,2024-08-24 15:20+03:00,5,Airbus A320,flyadeal,Departure,2024-08-24 15:20+03:00,
SV 520,,RUH,Unknown,Manama,BAH,2024-08-24 15:25+03:00,4,Airbus A320,Saudi Arabian,Departure,,
SV 1463,Riyadh King Khaled,RUH,Departed,Medina,MED,2024-08-24 15:30+03:00,5,Airbus A330,Saudi Arabian,Departure,2024-08-24 15:30+03:00,
XY 223,,RUH,Departed,Doha,DOH,2024-08-24 15:40+03:00,3,Airbus A320 NEO,flynas,Departure,,
XY 207,,RUH,Departed,Dubai,DXB,2024-08-24 15:50+03:00,3,Airbus A320 NEO,flynas,Departure,,
SV 1507,Riyadh King Khaled,RUH,Unknown,Rafha,RAH,2024-08-24 15:55+03:00,5,Airbus A321,Saudi Arabian,Departure,2024-08-24 15:55+03:00,
MS 690,,RUH,Unknown,Cairo,CAI,2024-08-24 16:00+03:00,2,Boeing 737-800 (winglets),EgyptAir,Departure,,
MS 690,Riyadh King Khaled,RUH,Unknown,Cairo,CAI,2024-08-24 16:00+03:00,2,Boeing 737-800 (winglets),EgyptAir,Departure,2024-08-24 16:00+03:00,
SV 560,,RUH,Departed,Dubai,DXB,2024-08-24 16:00+03:00,4,Airbus A330,Saudi Arabian,Departure,,
