flight_number,airport_code,departure_arrival_time_local,terminal,aircraft_model,airline_name,type,scheduled_datetime_flight,flight_status,gate_status,GateNumber
KU 773,KWI,2024-08-25T11:05:00.0000000+03:00,2,Airbus A320 NEO,Kuwait Airways,Arrival,2024-08-25T06:50:00.0000000+00:00,Unknown,Closed,105A
QR 1172,DOH,2024-08-25T11:15:00.0000000+03:00,3,Airbus A330-200,Qatar Airways,Arrival,2024-08-25T06:45:00.0000000+00:00,Expected,Closed,104A
RJ 732,AMM,2024-08-25T11:25:00.0000000+03:00,2,Embraer 195,Royal Jordanian,Arrival,2024-08-25T06:10:00.0000000+00:00,Unknown,Closed,102A
XY 328,CCJ,2024-08-25T11:45:00.0000000+03:00,3,Airbus A320 NEO,flynas,Arrival,2024-08-25T03:40:00.0000000+00:00,Unknown,Closed,101A
MS 651,CAI,2024-08-25T12:00:00.0000000+03:00,2,Airbus A321 NEO,EgyptAir,Arrival,2024-08-25T06:25:00.0000000+00:00,Unknown,Closed,108A
SV 725,ISB,2024-08-25T12:05:00.0000000+03:00,4,Boeing 777-300,Saudi Arabian,Arrival,2024-08-25T04:50:00.0000000+00:00,Unknown,Closed,101A
SV 1141,DMM,2024-08-25T12:15:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Arrival,2024-08-25T08:00:00.0000000+00:00,Unknown,Closed,107A
XY 202,DXB,2024-08-25T12:20:00.0000000+03:00,3,Airbus A320 NEO,flynas,Arrival,2024-08-25T07:25:00.0000000+00:00,Unknown,Closed,109A
SV 1736,BHH,2024-08-25T12:35:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Arrival,2024-08-25T08:05:00.0000000+00:00,Unknown,Closed,105A
SV 1294,URY,2024-08-25T12:50:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Arrival,2024-08-25T07:50:00.0000000+00:00,Unknown,Closed,106A
SV 3695,LKO,2024-08-25T13:05:00.0000000+03:00,4,Airbus A330,Saudi Arabian,Arrival,2024-08-25T05:00:00.0000000+00:00,Unknown,Closed,102A
QR 1164,DOH,2024-08-25T13:10:00.0000000+03:00,3,Airbus A350-1000,Qatar Airways,Arrival,2024-08-25T08:40:00.0000000+00:00,Expected,Closed,104A
XY 220,DXB,2024-08-25T13:35:00.0000000+03:00,3,Airbus A320 NEO,flynas,Arrival,2024-08-25T08:40:00.0000000+00:00,Expected,Closed,106A
F3 16,AHB,2024-08-25T13:45:00.0000000+03:00,5,Airbus A320,flyadeal,Arrival,2024-08-25T09:05:00.0000000+00:00,Unknown,Closed,106A
F3 506,DXB,2024-08-25T13:50:00.0000000+03:00,3,Airbus A320,flyadeal,Arrival,2024-08-25T08:50:00.0000000+00:00,Unknown,Closed,107A
SV 1030,JED,2024-08-25T13:50:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Arrival,2024-08-25T09:00:00.0000000+00:00,Unknown,Closed,103A
SV 1900,TIF,2024-08-25T13:55:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Arrival,2024-08-25T09:20:00.0000000+00:00,Unknown,Closed,106A
SV 1575,ULH,2024-08-25T14:10:00.0000000+03:00,5,Boeing 777-300,Saudi Arabian,Arrival,2024-08-25T09:25:00.0000000+00:00,Unknown,Closed,109A
E5 410,CAI,2024-08-25T14:20:00.0000000+03:00,2,Airbus A320,Air Arabia Egypt,Arrival,2024-08-25T08:40:00.0000000+00:00,Unknown,Closed,107A
XY 22,JED,2024-08-25T14:20:00.0000000+03:00,5,Airbus A320 NEO,flynas,Arrival,2024-08-25T09:30:00.0000000+00:00,Unknown,Closed,104A
SV 597,DXB,2024-08-25T14:30:00.0000000+03:00,4,Airbus A320,Saudi Arabian,Arrival,2024-08-25T09:30:00.0000000+00:00,Unknown,Closed,103A
XY 310,TBS,2024-08-25T14:45:00.0000000+03:00,3,Airbus A320 NEO,flynas,Arrival,2024-08-25T08:35:00.0000000+00:00,Expected,Closed,107A
SV 1032,JED,2024-08-25T14:50:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Arrival,2024-08-25T10:00:00.0000000+00:00,Unknown,Closed,103A
SV 1238,RAE,2024-08-25T15:00:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Arrival,2024-08-25T10:15:00.0000000+00:00,Unknown,Closed,106A
XY 390,BJV,2024-08-25T15:05:00.0000000+03:00,3,Airbus A320 NEO,flynas,Arrival,2024-08-25T08:15:00.0000000+00:00,Expected,Closed,106A
WY 683,MCT,2024-08-25T15:15:00.0000000+03:00,2,Boeing 737-800,Oman Air,Arrival,2024-08-25T09:55:00.0000000+00:00,Unknown,Closed,104A
XY 252,AMM,2024-08-25T15:25:00.0000000+03:00,3,Airbus A320 NEO,flynas,Arrival,2024-08-25T10:10:00.0000000+00:00,Unknown,Closed,106A
SV 573,AUH,2024-08-25T15:25:00.0000000+03:00,4,Airbus A321,Saudi Arabian,Arrival,2024-08-25T10:30:00.0000000+00:00,Unknown,Closed,108A
XY 274,CAI,2024-08-25T15:40:00.0000000+03:00,3,Airbus A320 NEO,flynas,Arrival,2024-08-25T09:55:00.0000000+00:00,Unknown,Closed,104A
J9 225,KWI,2024-08-25T15:45:00.0000000+03:00,2,Airbus A320 NEO,Jazeera Airways,Arrival,2024-08-25T11:30:00.0000000+00:00,Unknown,Closed,101A
SV 1524,TUU,2024-08-25T16:00:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Arrival,2024-08-25T10:55:00.0000000+00:00,Unknown,Closed,107A
XY 36,JED,2024-08-25T16:00:00.0000000+03:00,5,Airbus A320 NEO,flynas,Arrival,2024-08-25T11:10:00.0000000+00:00,Unknown,Closed,103A
G9 154,SHJ,2024-08-25T16:00:00.0000000+03:00,2,Airbus A320,Air Arabia,Arrival,2024-08-25T11:15:00.0000000+00:00,Unknown,Closed,107A
XY 392,AYT,2024-08-25T16:15:00.0000000+03:00,3,Airbus A320 NEO,flynas,Arrival,2024-08-25T09:45:00.0000000+00:00,Expected,Closed,104A
SV 1173,DMM,2024-08-25T16:15:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Arrival,2024-08-25T12:00:00.0000000+00:00,Unknown,Closed,106A
ME 1422,BEY,2024-08-25T16:30:00.0000000+03:00,3,Airbus A320,Middle East,Arrival,2024-08-25T11:10:00.0000000+00:00,Unknown,Closed,105A
XY 787,MED,2024-08-25T16:45:00.0000000+03:00,3,Airbus A320 NEO,flynas,Arrival,2024-08-25T12:20:00.0000000+00:00,Expected,Closed,105A
XY 90,AHB,2024-08-25T16:55:00.0000000+03:00,5,Airbus A320 NEO,flynas,Arrival,2024-08-25T12:20:00.0000000+00:00,Unknown,Closed,103A
SV 559,DXB,2024-08-25T17:05:00.0000000+03:00,4,Airbus A330,Saudi Arabian,Arrival,2024-08-25T12:00:00.0000000+00:00,Unknown,Closed,105A
SV 1460,MED,2024-08-25T17:10:00.0000000+03:00,5,Airbus A330,Saudi Arabian,Arrival,2024-08-25T12:30:00.0000000+00:00,Expected,Closed,105A
XY 232,KWI,2024-08-25T17:15:00.0000000+03:00,3,Airbus A320 NEO,flynas,Arrival,2024-08-25T12:55:00.0000000+00:00,Unknown,Closed,109A
XY 150,AJF,2024-08-25T17:25:00.0000000+03:00,5,Airbus A320 NEO,flynas,Arrival,2024-08-25T12:45:00.0000000+00:00,Unknown,Closed,101A
SV 634,AMM,2024-08-25T17:45:00.0000000+03:00,4,Airbus A320,Saudi Arabian,Arrival,2024-08-25T12:25:00.0000000+00:00,Expected,Closed,104A
SV 1808,GIZ,2024-08-25T17:50:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Arrival,2024-08-25T12:55:00.0000000+00:00,Unknown,Closed,107A
EK 817,DXB,2024-08-25T18:00:00.0000000+03:00,2,Airbus A380,Emirates,Arrival,2024-08-25T12:55:00.0000000+00:00,Unknown,Closed,105A
SV 1145,DMM,2024-08-25T18:15:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Arrival,2024-08-25T14:00:00.0000000+00:00,Unknown,Closed,106A
XY 60,JED,2024-08-25T18:15:00.0000000+03:00,5,Airbus A320 NEO,flynas,Arrival,2024-08-25T13:25:00.0000000+00:00,Unknown,Closed,107A
SV 1914,TIF,2024-08-25T18:25:00.0000000+03:00,5,Airbus A320,Saudi Arabian,Arrival,2024-08-25T13:50:00.0000000+00:00,Unknown,Closed,109A
XY 268,CAI,2024-08-25T18:30:00.0000000+03:00,3,Airbus A320 NEO,flynas,Arrival,2024-08-25T12:45:00.0000000+00:00,Unknown,Closed,102A
SV 1388,AJF,2024-08-25T18:35:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Arrival,2024-08-25T13:55:00.0000000+00:00,Unknown,Closed,107A
SV 110,LHR,2024-08-25T18:45:00.0000000+03:00,4,Boeing 777,Saudi Arabian,Arrival,2024-08-25T09:00:00.0000000+00:00,Expected,Closed,104A
NE 164,CAI,2024-08-25T18:50:00.0000000+03:00,2,Boeing 737,Nesma,Arrival,2024-08-25T13:10:00.0000000+00:00,Unknown,Closed,107A
XY 218,DXB,2024-08-25T18:55:00.0000000+03:00,3,Airbus A320 NEO,flynas,Arrival,2024-08-25T14:00:00.0000000+00:00,Expected,Closed,103A
XY 352,SZG,2024-08-25T18:55:00.0000000+03:00,3,Airbus A320 NEO,flynas,Arrival,2024-08-25T10:05:00.0000000+00:00,Expected,Closed,102A
F3 126,JED,2024-08-25T19:00:00.0000000+03:00,5,Airbus A320,flyadeal,Arrival,2024-08-25T14:20:00.0000000+00:00,Unknown,Closed,106A
SV 555,DXB,2024-08-25T19:15:00.0000000+03:00,4,Airbus A320,Saudi Arabian,Arrival,2024-08-25T14:15:00.0000000+00:00,Expected,Closed,109A
SV 1080,JED,2024-08-25T19:20:00.0000000+03:00,5,Airbus A330-300,Saudi Arabian,Arrival,2024-08-25T14:30:00.0000000+00:00,Unknown,Closed,104A
XY 224,DOH,2024-08-25T19:25:00.0000000+03:00,3,Airbus A320 NEO,flynas,Arrival,2024-08-25T15:05:00.0000000+00:00,Expected,Closed,108A
XY 46,JED,2024-08-25T19:35:00.0000000+03:00,5,Airbus A320 NEO,flynas,Arrival,2024-08-25T14:45:00.0000000+00:00,Unknown,Closed,106A
F3 180,DMM,2024-08-25T19:45:00.0000000+03:00,5,Airbus A320,flyadeal,Arrival,2024-08-25T15:35:00.0000000+00:00,Unknown,Closed,102A
SV 1926,WAE,2024-08-25T19:50:00.0000000+03:00,5,Airbus A321,Saudi Arabian,Arrival,2024-08-25T15:35:00.0000000+00:00,Unknown,Closed,109A
LH 636,FRA,2024-08-25T19:55:00.0000000+03:00,2,Airbus A330-300,Lufthansa,Arrival,2024-08-25T11:10:00.0000000+00:00,Expected,Closed,104A
XY 93,MED,2024-08-26T08:10:00.0000000+03:00,5,Airbus A320 NEO,flynas,Departure,2024-08-26T05:10:00.0000000+00:00,Departed,Closed,103A
XY 257,SAW,2024-08-26T08:35:00.0000000+03:00,3,Airbus A320 NEO,flynas,Departure,2024-08-26T05:35:00.0000000+00:00,Unknown,Closed,103A
F3 505,DXB,2024-08-26T08:50:00.0000000+03:00,3,Airbus A320,flyadeal,Departure,2024-08-26T05:50:00.0000000+00:00,Departed,Closed,105A
