flight_number,airport_code,departure/arrival_time_local,terminal,aircraft_model,airline_name,type,scheduled_datetime_flight,flight_status,gate_status
XY 787,MED,2024-08-14 16:45+03:00,3.0,Airbus A320 NEO,flynas,Arrival,2024-08-14 12:20:00+00:00,Expected,Closed
XY 90,AHB,2024-08-14 16:55+03:00,5.0,Airbus A320 NEO,flynas,Arrival,2024-08-14 12:20:00+00:00,Unknown,Closed
GF 167,BAH,2024-08-14 17:00+03:00,2.0,Boeing 787-9,Gulf Air,Arrival,2024-08-14 12:45:00+00:00,Unknown,Closed
KU 775,KWI,2024-08-14 17:10+03:00,2.0,Airbus A320,Kuwait Airways,Arrival,2024-08-14 12:50:00+00:00,Unknown,Closed
XY 232,KWI,2024-08-14 17:15+03:00,3.0,Airbus A320 NEO,flynas,Arrival,2024-08-14 12:55:00+00:00,Unknown,Closed
PR 654,MNL,2024-08-14 17:20+03:00,2.0,Airbus A330-300,Philippine,Arrival,2024-08-14 04:35:00+00:00,Expected,Closed
XY 258,SAW,2024-08-14 17:40+03:00,3.0,Airbus A320 NEO,flynas,Arrival,2024-08-14 10:50:00+00:00,Unknown,Closed
SV 1808,GIZ,2024-08-14 17:50+03:00,5.0,Airbus A320,Saudi Arabian,Arrival,2024-08-14 12:55:00+00:00,Unknown,Closed
F3 122,JED,2024-08-14 17:55+03:00,5.0,Airbus A320,flyadeal,Arrival,2024-08-14 13:10:00+00:00,Unknown,Closed
F3 128,JED,2024-08-14 18:10+03:00,5.0,Airbus A320,flyadeal,Arrival,2024-08-14 13:35:00+00:00,Unknown,Closed
XY 60,JED,2024-08-14 18:15+03:00,5.0,Airbus A320 NEO,flynas,Arrival,2024-08-14 13:25:00+00:00,Unknown,Closed
XY 384,PRG,2024-08-14 18:30+03:00,3.0,Airbus A320 NEO,flynas,Arrival,2024-08-14 09:35:00+00:00,Expected,Closed
F3 608,CAI,2024-08-14 18:30+03:00,3.0,Airbus A320,flyadeal,Arrival,2024-08-14 12:40:00+00:00,Unknown,Closed
SV 1388,AJF,2024-08-14 18:35+03:00,5.0,Airbus A321,Saudi Arabian,Arrival,2024-08-14 13:55:00+00:00,Unknown,Closed
SV 1232,RAE,2024-08-14 18:45+03:00,5.0,Airbus A320,Saudi Arabian,Arrival,2024-08-14 14:00:00+00:00,Unknown,Closed
SV 418,CAI,2024-08-14 18:50+03:00,4.0,Airbus A330,Saudi Arabian,Arrival,2024-08-14 13:00:00+00:00,Unknown,Closed
XY 352,SZG,2024-08-14 18:55+03:00,3.0,Airbus A320 NEO,flynas,Arrival,2024-08-14 10:05:00+00:00,Unknown,Closed
